symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev,gap_days,persistence
BLSX,2025-11-21,40,27,1.481481,1.485306,1.0,0.8,0.002579,10,bad-open-print
BLSX,2026-02-05,16,7,2.285714,2.283237,2.0,3.0,0.001084,21,persistent
BLUE,2024-12-13,1,18,0.055556,0.054505,0.2584,0.4938,0.019085,1,persistent
BLUWW,2025-09-08,12,19,0.631579,0.631579,0.4101,0.4101,0.0,25,persistent
BMGL,2026-06-23,2,25,0.08,0.080394,0.0103,0.0103,0.004914,8,persistent
BMNG,2026-05-05,1,21,0.047619,0.047479,0.0006,0.0016,0.002943,1,persistent
BMNU,2026-07-13,3,29,0.103448,0.103029,0.1182,0.3958,0.004063,3,persistent
BMR,2023-09-29,9,13,0.692308,0.693642,1.0,1.0,0.001925,4,persistent
BMRA,2025-04-21,1,8,0.125,0.125,0.1321,0.1442,0.0,4,persistent
BN,2025-10-10,40,27,1.481481,1.486237,1.6773,1.1493,0.003205,1,persistent
BNAI,2024-03-22,32,19,1.684211,1.67651,0.9927,0.8958,0.004583,1,persistent
