vendor,symbol,prev_date,ex_date,cc_return,classification,p2_tier,factor_est,vol_gate_day,vol_gate_persist,gap_days,persistence,reason
databento-xnas,BBIO,2021-12-23,2021-12-27,-0.718119,repricing,NEAR,2.321429,16.19,7.1139,4,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,BBIO,2023-03-03,2023-03-06,0.520947,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BBIO,2023-07-14,2023-07-17,0.556726,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BE,2024-11-14,2024-11-15,0.591114,repricing,NEAR,0.65625,6.3424,1.4293,1,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,BKNG,2026-04-02,2026-04-06,-0.957965,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,BMNR,2025-06-27,2025-06-30,10.347518,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BMNR,2025-07-02,2025-07-03,1.117533,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BMNR,2025-07-08,2025-07-09,-0.41094,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BNY,2026-02-06,2026-05-21,12.632353,repricing,FAR,0.074074,137.8343,249.7508,104,untestable,p2-volume-wrong-direction (FAR persistence)
databento-xnas,BROS,2022-05-10,2022-05-11,-0.472536,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,BULL,2025-04-11,2025-04-14,1.0,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CAI,2021-11-22,2025-06-18,-0.5,repricing,NEAR,2.071429,533.297,54.4493,1304,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,CDTX,2024-04-23,2024-04-24,30.436364,split-like,FAR,0.052632,0.6043,0.3391,1,persistent,p3+p2 pass
databento-xnas,CDTX,2025-06-20,2025-06-23,1.189498,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CELC,2024-11-14,2024-11-15,-0.629875,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CELC,2024-11-15,2024-11-18,1.477137,repricing,FAR,0.388889,1.4489,1.2079,3,untestable,p2-volume-wrong-direction (FAR persistence)
databento-xnas,CELC,2025-07-25,2025-07-28,1.631769,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CELH,2023-11-14,2023-11-15,-0.673107,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CHDN,2023-05-19,2023-05-22,-0.505645,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CIFR,2022-05-09,2022-05-10,-0.437288,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,CMG,2024-06-25,2024-06-26,-0.980105,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CNQ,2024-06-10,2024-06-11,-0.49866,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,COGT,2022-06-09,2022-06-10,0.582661,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,COGT,2023-12-08,2023-12-11,-0.523148,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,COGT,2024-02-13,2024-02-14,0.59707,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,COGT,2025-11-07,2025-11-10,1.228472,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,COHR,2022-06-30,2022-09-08,-0.836642,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,COKE,2025-05-23,2025-05-27,-0.901128,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,COMM,2025-08-01,2025-08-04,0.838791,repricing,NEAR,0.7,10.5382,2.3997,3,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,CONL,2024-11-05,2024-11-06,0.530901,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,COO,2024-02-16,2024-02-20,-0.74306,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CORT,2025-03-28,2025-03-31,1.088985,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CORT,2025-12-30,2025-12-31,-0.504986,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,CORZ,2022-10-26,2022-10-27,-0.771287,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,CORZ,2022-12-13,2022-12-14,1.579769,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,CORZ,2022-12-20,2022-12-21,-0.674115,repricing,,,,,1,untestable,p3-open-equals-prevclose (intraday move)
databento-xnas,CORZ,2022-12-21,2022-12-22,0.657143,repricing,,,,,1,untestable,p3-min-price
databento-xnas,CORZ,2022-12-30,2024-01-24,50.752022,repricing,,,,,390,untestable,p3-min-price
databento-xnas,CPRT,2022-11-03,2022-11-04,-0.493959,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CPRT,2023-08-21,2023-08-22,-0.491269,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CRDO,2023-02-13,2023-02-14,-0.488083,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CRNX,2023-09-08,2023-09-11,0.65872,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CRNX,2026-07-02,2026-07-06,0.989818,repricing,,,,,4,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CRWD,2026-07-01,2026-07-02,-0.745997,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CTAS,2024-09-11,2024-09-12,-0.749428,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CVNA,2022-12-06,2022-12-07,-0.403561,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CVNA,2023-01-31,2023-02-01,0.621782,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CVNA,2023-06-07,2023-06-08,0.636423,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CVNA,2023-07-18,2023-07-19,0.586226,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,CVNA,2026-05-07,2026-05-08,-0.804533,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,CYTK,2023-12-26,2023-12-27,0.841978,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DAVE,2023-01-05,2023-01-06,27.449502,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,DAVE,2024-03-04,2024-03-05,0.610046,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DELL,2021-11-01,2021-11-02,-0.50695,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,DOCS,2026-02-04,2026-02-05,-0.438234,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DOCS,2026-08-05,2026-08-06,0.651206,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DWAC,2021-10-20,2021-10-21,5.594567,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DWAC,2022-11-04,2022-11-07,0.571667,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DWAC,2024-01-19,2024-01-22,0.811725,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,DXCM,2022-06-10,2022-06-13,-0.766267,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,ERAS,2026-04-24,2026-04-27,-0.425602,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ETNB,2023-10-09,2023-10-10,-0.446015,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,ETNB,2025-09-17,2025-09-18,0.851485,repricing,NEAR,0.53125,23.1776,5.3133,1,untestable,p2-volume-not-scaled (NEAR strict gates)
databento-xnas,EXLS,2023-08-01,2023-08-02,-0.799547,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,FAST,2025-05-21,2025-05-22,-0.504507,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,FBRX,2024-08-27,2024-08-28,21.085714,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,FBRX,2024-11-19,2024-11-20,1.347122,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FBRX,2026-07-08,2026-07-09,0.860544,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FCEL,2024-11-08,2024-11-11,25.76,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,FCNCA,2023-03-24,2023-03-27,0.532916,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FI,2021-10-01,2023-06-07,35.735341,repricing,FAR,0.028571,7.8789,9.2404,614,untestable,p2-volume-wrong-direction (FAR persistence)
databento-xnas,FI,2025-10-28,2025-10-29,-0.436697,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FIG,2025-05-23,2025-07-31,5.042956,repricing,FAR,0.277778,16814.4388,4592.0655,69,untestable,p2-volume-wrong-direction (FAR persistence)
databento-xnas,FISV,2023-06-06,2025-11-11,-0.439252,registry,,,,,,,SplitEvent exDate within +/-1d
databento-xnas,FLNC,2026-05-29,2026-06-01,0.526956,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FRC,2023-03-10,2023-03-13,-0.530965,repricing,,,,,3,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FRC,2023-04-27,2023-04-28,-0.620915,repricing,,,,,1,untestable,p3-factor-band (|k-1| < 0.3)
databento-xnas,FTNT,2022-06-22,2022-06-23,-0.797136,registry,,,,,,,SplitEvent exDate within +/-1d
