symbol,ex_date,event,factor,source,verdict,measured_open,measured_close,persistence
LPTX,2023-06-21,REVERSE_SPLIT,0.1,inband,corroborated,0.1062,0.1147,persistent
LRCU,2026-03-10,FORWARD_SPLIT,3.0,yahoo,corroborated,2.8306,2.8675,persistent
LRCX,2024-10-03,FORWARD_SPLIT,10.0,yahoo,corroborated,10.1656,10.039,persistent
LRHC,2025-07-07,REVERSE_SPLIT,0.0125,yahoo,drifted,0.0164,0.0174,persistent
LRHC,2026-01-26,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0972,0.1,persistent
LRHC,2026-04-20,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0931,0.0884,persistent
LSBK,2025-07-21,FORWARD_SPLIT,1.354,yahoo,corroborated,1.3395,1.3317,persistent
LSDI,2024-02-26,REVERSE_SPLIT,0.1,inband,ex-date-absent,,,
LSTA,2022-09-15,REVERSE_SPLIT,0.0666666666667,yahoo,no-prev-bar,,,
LTL,2025-11-20,FORWARD_SPLIT,4.0,yahoo,ex-date-absent,,,
LTRY,2023-08-10,REVERSE_SPLIT,0.052632,inband,corroborated,0.0514,0.0539,persistent
LU,2023-12-15,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2575,0.2684,persistent
LUCY,2024-07-18,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0566,0.0602,persistent
LVLU,2025-07-07,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0682,0.0622,persistent
LVO,2025-09-26,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0946,0.0956,persistent
LXEH,2024-01-03,REVERSE_SPLIT,0.5,yahoo,ex-date-absent,,,
LXEH,2024-09-30,REVERSE_SPLIT,0.1,yahoo,drifted,0.09,0.0748,persistent
LXEH,2026-04-20,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
LXP,2025-11-11,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1901,0.1982,persistent
LXU,2021-10-12,FORWARD_SPLIT,1.3,yahoo,corroborated,1.3435,1.3145,persistent
LYEL,2025-06-02,REVERSE_SPLIT,0.05,yahoo,corroborated,0.042,0.0514,persistent
LYRA,2024-05-06,FORWARD_SPLIT,5.384615,inband,drifted,18.0152,7.7649,persistent
LYRA,2025-05-28,REVERSE_SPLIT,0.02,yahoo,corroborated,0.022,0.0198,persistent
LZMH,2026-05-22,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0509,0.0479,persistent
MAAS,2025-04-14,REVERSE_SPLIT,0.0166666666667,yahoo,ex-date-absent,,,
MAGA,2024-03-25,FORWARD_SPLIT,1.47619,inband,ex-date-absent,,,
MAGN,2024-11-04,REVERSE_SPLIT,0.0769230769231,yahoo,ex-date-absent,,,
MAGS,2023-11-09,REVERSE_SPLIT,0.125,inband,ex-date-absent,,,
MAKO,2023-03-08,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MARK,2022-12-22,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1121,0.1103,persistent
MASK,2026-03-16,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0443,0.0432,persistent
MBAI,2022-11-25,REVERSE_SPLIT,0.05,yahoo,ex-date-absent,,,
MBAI,2026-08-13,REVERSE_SPLIT,0.142857,yahoo,corroborated,0.1369,0.14,persistent
MBBC,2025-04-22,FORWARD_SPLIT,1.372,yahoo,ex-date-absent,,,
MBI,2023-12-26,FORWARD_SPLIT,2.111111,inband,corroborated,2.2887,2.1274,persistent
MBIN,2022-01-18,FORWARD_SPLIT,1.5,yahoo,corroborated,1.5102,1.5336,persistent
MBIO,2023-04-04,REVERSE_SPLIT,0.0666666666667,yahoo,ex-date-absent,,,
MBIO,2025-01-16,REVERSE_SPLIT,0.02,yahoo,corroborated,0.025,0.0216,persistent
MBRX,2024-03-22,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0743,0.0774,persistent
MBRX,2025-12-01,REVERSE_SPLIT,0.04,yahoo,corroborated,0.0415,0.0405,persistent
MCAA,2024-06-12,FORWARD_SPLIT,1.625,inband,ex-date-absent,,,
MCHP,2021-10-13,FORWARD_SPLIT,2.0,yahoo,corroborated,1.9794,2.0091,persistent
MCOM,2023-03-31,REVERSE_SPLIT,0.02,yahoo,no-prev-bar,,,
MCOM,2023-12-04,REVERSE_SPLIT,0.006667,yahoo,drifted,0.007,0.0089,persistent
MCRB,2025-04-22,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0475,0.0455,persistent
MCVT,2026-03-25,REVERSE_SPLIT,0.257143,inband,corroborated,0.2488,0.2488,persistent
MDRR,2023-05-04,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1182,0.1182,persistent
MDRR,2024-07-03,REVERSE_SPLIT,0.5,yahoo,ex-date-absent,,,
MDU,2023-06-01,FORWARD_SPLIT,1.457,yahoo,corroborated,1.4332,1.4827,persistent
MDU,2024-11-01,FORWARD_SPLIT,1.805,yahoo,corroborated,1.8341,1.9106,persistent
MDVL,2023-08-01,REVERSE_SPLIT,0.02,inband,ex-date-absent,,,
MDWD,2022-12-20,REVERSE_SPLIT,0.142857,yahoo,corroborated,0.1425,0.1185,persistent
ME,2024-10-16,REVERSE_SPLIT,0.057143,inband,corroborated,0.0535,0.0508,persistent
MEDS,2026-05-26,REVERSE_SPLIT,0.02,yahoo,ex-date-absent,,,
MEGL,2025-02-18,REVERSE_SPLIT,0.285714,inband,corroborated,0.2691,0.2721,persistent
MEIP,2023-04-17,REVERSE_SPLIT,0.052632,inband,corroborated,0.0493,0.0474,persistent
MESO,2024-01-10,REVERSE_SPLIT,0.5,yahoo,corroborated,0.532,0.5347,persistent
METC,2024-12-02,FORWARD_SPLIT,1.01,yahoo,corroborated,1.0079,1.0493,persistent
METC,2025-02-28,FORWARD_SPLIT,1.014,yahoo,corroborated,1.0311,1.0594,persistent
METCB,2024-12-02,FORWARD_SPLIT,1.023,yahoo,corroborated,1.012,1.002,persistent
METCB,2025-09-05,FORWARD_SPLIT,1.011,yahoo,corroborated,1.0568,1.0315,persistent
METCB,2026-03-13,FORWARD_SPLIT,1.012,yahoo,corroborated,1.0195,1.1178,persistent
METCB,2026-06-12,FORWARD_SPLIT,1.012,yahoo,corroborated,0.955,0.9748,persistent
METX,2023-08-24,REVERSE_SPLIT,0.055556,inband,drifted,0.0584,0.0715,persistent
MEXX,2023-08-28,FORWARD_SPLIT,5.0,yahoo,ex-date-absent,,,
MF,2026-05-22,REVERSE_SPLIT,0.04,yahoo,ex-date-absent,,,
MFA,2022-04-05,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2534,0.2534,persistent
MFI,2025-07-10,REVERSE_SPLIT,0.125,yahoo,corroborated,0.1168,0.1198,persistent
MGK,2026-04-21,FORWARD_SPLIT,5.0,yahoo,corroborated,4.9901,5.0325,persistent
MGOL,2024-07-18,REVERSE_SPLIT,0.1125,inband,corroborated,0.1112,0.1302,persistent
MGRX,2024-10-16,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0684,0.0729,persistent
MHUA,2025-11-24,REVERSE_SPLIT,0.01,inband,drifted,0.0129,0.013,persistent
MI,2024-04-12,REVERSE_SPLIT,0.02,yahoo,drifted,0.0281,0.029,persistent
MI,2026-05-18,REVERSE_SPLIT,0.0125,inband,corroborated,0.014,0.014,persistent
MIC,2021-10-08,FORWARD_SPLIT,11.428571,inband,corroborated,11.1813,10.9704,persistent
MIC,2026-06-26,REVERSE_SPLIT,0.184615,inband,ex-date-absent,,,
MIDD,2026-07-07,FORWARD_SPLIT,1.243,yahoo,corroborated,1.2507,1.2901,persistent
MIGI,2023-02-09,REVERSE_SPLIT,0.16129,inband,corroborated,0.1619,0.1619,persistent
MIMI,2026-05-06,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1078,0.0992,persistent
MIND,2023-10-13,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MIND,2023-10-16,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0918,0.0892,persistent
MINM,2025-06-02,REVERSE_SPLIT,0.414286,inband,drifted,0.3855,0.6207,persistent
MJ,2025-02-21,REVERSE_SPLIT,0.083333,yahoo,corroborated,0.0838,0.0843,persistent
MKDW,2026-01-26,REVERSE_SPLIT,0.033333,yahoo,corroborated,0.0361,0.0361,persistent
MKTW,2025-04-03,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0557,0.0561,persistent
MKZR,2025-08-05,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1039,0.1174,persistent
ML,2023-04-25,REVERSE_SPLIT,0.034483,inband,corroborated,0.034,0.0398,persistent
MLEC,2025-05-14,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MLEC,2026-01-05,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0592,0.0592,persistent
MLGO,2024-03-22,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0944,0.1084,persistent
MLGO,2024-12-13,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0475,0.0524,persistent
MLGO,2025-07-18,REVERSE_SPLIT,0.033333,yahoo,corroborated,0.0382,0.0402,persistent
MLI,2023-10-23,FORWARD_SPLIT,2.0,yahoo,corroborated,1.9958,2.0088,persistent
MLI,2026-07-01,FORWARD_SPLIT,2.0,yahoo,corroborated,2.0159,2.1409,persistent
MMM,2024-04-01,FORWARD_SPLIT,1.196,yahoo,corroborated,1.1662,1.1282,persistent
MNDR,2025-03-10,REVERSE_SPLIT,0.125,yahoo,drifted,0.1612,0.1671,persistent
MNDR,2025-09-25,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1943,0.1799,persistent
MNDR,2026-06-29,REVERSE_SPLIT,0.166666666667,yahoo,ex-date-absent,,,
MNMD,2022-08-29,REVERSE_SPLIT,0.074074,inband,corroborated,0.0691,0.0656,persistent
MNPR,2024-08-13,REVERSE_SPLIT,0.2,yahoo,corroborated,0.1712,0.1712,persistent
MNST,2023-03-28,FORWARD_SPLIT,2.0,yahoo,corroborated,2.0011,2.0287,persistent
MNST,2026-08-11,FORWARD_SPLIT,2.0,yahoo,corroborated,1.9698,2.0061,persistent
MNTS,2023-08-24,REVERSE_SPLIT,0.02,yahoo,drifted,0.0257,0.0264,persistent
MNTS,2024-12-13,REVERSE_SPLIT,0.071429,yahoo,corroborated,0.075,0.0635,persistent
MNTS,2025-12-18,REVERSE_SPLIT,0.056,yahoo,corroborated,0.0556,0.0669,persistent
MOBQ,2023-08-07,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0752,0.077,persistent
MOBX,2026-04-07,REVERSE_SPLIT,0.1,yahoo,corroborated,0.0981,0.1038,persistent
MODD,2026-03-31,REVERSE_SPLIT,0.033333,yahoo,corroborated,0.027,0.0286,persistent
MOGO,2023-08-14,REVERSE_SPLIT,0.387097,inband,corroborated,0.3288,0.3544,persistent
MOGU,2022-03-28,REVERSE_SPLIT,0.083333,yahoo,corroborated,0.0992,0.0899,persistent
MOTS,2022-07-26,REVERSE_SPLIT,0.05,yahoo,corroborated,0.0449,0.0498,persistent
MOTS,2023-11-02,REVERSE_SPLIT,0.066667,yahoo,not-corroborated,0.0921,0.1053,persistent
MOVE,2024-10-29,REVERSE_SPLIT,0.066667,yahoo,corroborated,0.0703,0.0638,persistent
MOVE,2025-10-10,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1023,0.0984,persistent
MOVE,2026-04-07,FORWARD_SPLIT,1.358,yahoo,drifted,1.2454,0.9674,bad-open-print
MPL,2026-03-20,REVERSE_SPLIT,0.344828,inband,ex-date-absent,,,
MPLN,2024-09-23,REVERSE_SPLIT,0.028571,inband,drifted,0.0296,0.021,persistent
MPU,2022-01-10,FORWARD_SPLIT,5.0,yahoo,ex-date-absent,,,
MQ,2026-07-01,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2485,0.2436,persistent
MQQQ,2025-06-03,REVERSE_SPLIT,0.2,yahoo,ex-date-absent,,,
MRAI,2023-06-29,REVERSE_SPLIT,0.25,yahoo,corroborated,0.2825,0.2592,persistent
MRAL,2026-05-01,REVERSE_SPLIT,0.1,yahoo,corroborated,0.094,0.1098,persistent
MRBK,2023-03-21,FORWARD_SPLIT,2.0,yahoo,corroborated,1.9888,2.0023,persistent
MRDN,2026-03-03,REVERSE_SPLIT,0.0833333333333,yahoo,no-prev-bar,,,
MREO,2025-12-29,FORWARD_SPLIT,6.666667,inband,corroborated,6.9561,8.0902,persistent
MRIN,2024-04-15,REVERSE_SPLIT,0.172414,inband,corroborated,0.1594,0.1882,persistent
MRKR,2023-01-27,REVERSE_SPLIT,0.1,yahoo,ex-date-absent,,,
MRNY,2025-12-01,REVERSE_SPLIT,0.1,yahoo,corroborated,0.1022,0.1051,persistent
MRSN,2025-07-28,REVERSE_SPLIT,0.04,inband,corroborated,0.0451,0.0451,persistent
MSAI,2026-04-13,REVERSE_SPLIT,0.025,yahoo,corroborated,0.0264,0.0244,persistent
MSGM,2022-11-10,REVERSE_SPLIT,0.1,yahoo,drifted,0.0512,0.066,persistent
MSGY,2026-08-11,REVERSE_SPLIT,0.125,yahoo,drifted,0.088,0.0816,persistent
MSLE,2026-01-30,REVERSE_SPLIT,0.0833333333333,yahoo,ex-date-absent,,,
