symbol,ex_date,ratio_new,ratio_old,factor,price_ratio,vol_gate_day,vol_gate_persist,price_dev
TTDU,2026-08-24,1,10,0.1,0.100813,0.0764,0.042,0.008097
TTEK,2024-09-09,64,13,4.923077,4.955556,5.5656,5.5735,0.006576
TTNP,2024-01-09,1,18,0.055556,0.054455,0.6117,0.3528,0.020009
TUEM,2022-12-01,1,31,0.032258,0.032544,0.0328,0.1057,0.008837
TVGN,2026-03-06,1,50,0.02,0.020123,1.5421,0.2385,0.006145
TWG,2025-07-21,1,100,0.01,0.011042,0.7345,0.2906,0.099091
TWM,2024-11-07,1,5,0.2,0.200863,0.0841,0.1345,0.004308
TWO,2022-11-02,4,15,0.266667,0.267722,0.6602,0.3394,0.003951
TWOU,2024-06-14,1,30,0.033333,0.033616,0.2916,0.1392,0.008444
TXMD,2022-05-09,1,50,0.02,0.020493,0.2641,0.1619,0.024335
TXXS,2026-07-06,1,10,0.1,0.100937,0.119,0.0222,0.009326
TZA,2026-07-15,1,10,0.1,0.100849,0.033,0.0453,0.008451
UBX,2022-10-20,3,31,0.096774,0.096619,0.3989,0.2882,0.001602
UBXG,2024-11-27,1,16,0.0625,0.062902,1.0765,0.284,0.006419
UBXG,2026-05-22,1,26,0.038462,0.038712,0.0359,0.0944,0.006482
UCC,2025-04-07,32,23,1.391304,1.392317,1.7042,1.9014,0.000727
UCO,2022-05-26,4,1,4.0,3.954305,3.7007,5.5373,0.01149
UDOW,2025-11-20,2,1,2.0,1.978187,2.6964,0.9111,0.010967
UGL,2025-06-13,31,8,3.875,3.876327,3.0235,2.8845,0.000342
UGRO,2026-02-09,3,64,0.046875,0.046667,0.2761,0.2155,0.004454
UK,2022-04-22,2,35,0.057143,0.056733,0.7086,0.0709,0.007204
UK,2023-11-30,1,13,0.076923,0.077228,5.5425,0.3138,0.003953
UK,2026-04-30,3,31,0.096774,0.097749,0.6815,0.6299,0.010025
ULTY,2025-12-01,3,29,0.103448,0.102229,0.0878,0.0432,0.011856
ULY,2025-03-18,1,12,0.083333,0.082418,0.4266,0.624,0.01105
UNCY,2025-06-20,1,10,0.1,0.098655,1.056,0.4242,0.013544
UNG,2024-01-24,9,35,0.257143,0.25641,0.7158,0.2854,0.002853
UNX,2026-03-10,3,31,0.096774,0.098248,0.344,0.1302,0.015115
UONEK,2026-01-23,3,31,0.096774,0.097578,0.3274,0.1427,0.008267
UP,2023-06-08,3,29,0.103448,0.103273,0.1495,0.2843,0.001698
UP,2026-04-27,1,19,0.052632,0.051922,0.6852,0.4396,0.013581
UP+,2022-10-06,17,12,1.416667,1.4175,0.6749,0.6704,0.000588
UPB,2024-11-19,18,11,1.636364,1.638181,1.4111,1.0783,0.00111
UPC,2023-07-28,4,27,0.148148,0.146444,8.3894,0.6035,0.011573
UPC,2024-11-18,2,31,0.064516,0.064977,0.2414,0.0779,0.007124
UPH,2022-12-09,3,31,0.096774,0.096341,9.7109,0.7285,0.004482
UPLD,2026-06-17,1,10,0.1,0.101125,0.7209,0.2128,0.011191
UPRO,2022-01-13,2,1,2.0,2.005001,1.1215,1.5082,0.002497
UPSX,2025-12-02,6,31,0.193548,0.194419,0.3655,0.2041,0.004487
UPTDW,2022-04-11,19,50,0.38,0.38,1.3322,0.8696,0.0
UPW,2025-11-20,70,17,4.117647,4.117241,0.3429,2.0762,9.9e-05
USB-S,2025-04-11,9,16,0.5625,0.561798,0.6365,0.525,0.001249
USCB,2024-04-24,16,11,1.454545,1.456364,1.9633,2.0816,0.001249
USD,2024-11-07,2,1,2.0,1.983032,1.1952,1.8931,0.00852
USLM,2024-07-15,29,6,4.833333,4.871155,8.6465,4.2026,0.007795
USOI,2022-09-27,1,19,0.052632,0.052443,0.3136,0.0976,0.003582
USWS,2021-10-01,5,17,0.294118,0.294488,0.802,0.6636,0.001259
USWS,2022-08-05,1,6,0.166667,0.166953,0.616,0.6276,0.001714
USX,2026-06-08,13,40,0.325,0.325557,0.0001,0.0022,0.001712
UTRS,2023-10-02,1,20,0.05,0.05,0.7379,0.1488,0.0
UTSI,2022-06-29,5,18,0.277778,0.277484,1.5952,0.7947,0.001059
UVIX,2023-01-25,1,5,0.2,0.200407,0.3056,0.2119,0.002033
UVIX,2023-10-11,3,31,0.096774,0.098075,0.3659,0.1582,0.013348
